
Image Name                     PID Session Name        Session#    Mem Usage
Salle des Fˆtes 1.0.0.exe     1776 Console                    2     14,780 K
Salle des Fˆtes.exe           5700 Console                    2    110,356 K
Salle des Fˆtes.exe           7316 Console                    2     59,124 K
Salle des Fˆtes.exe           7680 Console                    2     42,092 K
brave.exe                    12920 Console                    2     34,168 K
OpenConsole.exe               2684 Console                    2      8,560 K
powershell.exe                9080 Console                    2     80,832 K
SearchProtocolHost.exe       12212 Services                   0     13,104 K
WmiPrvSE.exe                 10804 Services                   0     11,020 K
brave.exe                    10772 Console                    2     45,444 K
cmd.exe                       1440 Console                    2      4,432 K
tasklist.exe                  9012 Console                    2      9,380 K
